X,Y,band1,band2,band3,band4,band5,band6,band7
2,77,52,41,31,94,51,126,26
2,78,53,41,30,95,50,126,24
2,79,52,42,33,99,47,123,23
2,80,53,40,30,86,43,123,26
2,81,57,43,36,111,57,126,31
2,82,53,44,30,123,65,126,31
2,83,54,42,34,137,70,126,34
2,84,53,44,35,120,60,126,29
2,85,52,40,32,81,39,124,22
2,86,51,38,27,82,42,124,22
2,87,52,45,32,127,64,126,32
2,88,57,46,35,134,66,126,32
2,89,55,42,33,96,51,125,26
2,90,49,40,31,82,49,125,25
2,91,54,43,31,111,60,127,30
2,92,54,41,34,102,59,127,31
2,93,51,38,31,75,48,122,25
2,94,51,37,31,74,44,122,23
2,95,54,42,35,92,51,120,27
2,96,56,44,37,93,52,120,29
2,97,53,43,36,96,44,119,22
2,98,49,40,31,90,36,119,19
2,99,50,40,28,93,42,119,20
2,100,53,44,34,127,57,119,27
2,101,51,44,30,154,60,120,27
2,102,49,37,28,121,48,120,20
2,103,50,35,26,73,35,119,19
2,104,52,39,28,64,38,119,20
2,105,54,40,32,84,51,120,24
2,106,53,44,35,108,62,120,31
2,107,55,46,32,119,65,124,28
2,108,56,46,37,101,64,124,33
2,109,55,43,33,107,66,126,32
2,110,53,42,34,113,64,126,32
2,111,53,45,33,122,65,125,30
2,112,53,43,30,98,57,125,27
2,113,54,39,35,63,38,119,24
2,114,53,40,35,26,16,119,13
2,115,58,43,36,17,11,114,11
2,116,56,43,40,43,26,114,15
2,117,51,36,30,60,32,118,18
2,118,52,35,28,58,29,118,17
2,119,51,36,30,58,28,118,16
2,120,50,34,30,54,26,118,15
2,121,50,32,25,44,21,114,14
2,122,49,32,24,57,24,114,16
2,123,49,33,27,64,28,115,17
2,124,50,33,26,54,27,115,15
2,125,48,31,23,42,23,116,14
2,126,47,30,22,39,21,116,14
2,127,47,31,22,38,22,115,15
2,128,47,31,25,51,14,115,11
2,129,50,31,25,54,16,119,12
2,130,53,38,31,74,40,119,23
2,131,53,39,35,76,55,125,33
2,132,50,37,32,63,43,125,26
2,133,51,39,30,74,35,122,19
2,134,53,42,34,95,44,122,25
2,135,50,34,32,59,32,121,18
